source,reasoning_score,dataset,complexity_level
ARC-Easy,0.4099,Original,Medium
LiveBench-Math,0.3771,LiveBench,Medium
LiveBench-DataAnalysis,0.0142,LiveBench,Simple
LiveBench-Reasoning,0.5379,LiveBench,Medium
ARC-Easy,0.5905,Original,Medium
GSM8K,0.7959,Original,Complex
GSM8K,0.7789,Original,Complex
ARC-Challenge,0.1236,Original,Simple
LiveBench-InstructFollow,0.0168,LiveBench,Simple
GSM8K,0.7392,Original,Complex
HellaSwag,0.0237,Original,Simple
Winogrande,0.0095,Original,Simple
MMLU-formal_logic,0.2084,Original,Simple
LiveBench-Math,0.5444,LiveBench,Medium
HellaSwag,0.0172,Original,Simple
Winogrande,0.008,Original,Simple
LiveBench-Coding,0.1322,LiveBench,Simple
GSM8K,0.6296,Original,Complex
GSM8K,0.7246,Original,Complex
LiveBench-Math,0.3888,LiveBench,Medium
ARC-Easy,0.0696,Original,Simple
MMLU-abstract_algebra,0.1297,Original,Simple
LiveBench-Reasoning,0.4968,LiveBench,Medium
ARC-Easy,0.1384,Original,Simple
ARC-Challenge,0.0564,Original,Simple
LiveBench-Reasoning,0.5493,LiveBench,Medium
ARC-Easy,0.1004,Original,Simple
GSM8K,0.8069,Original,Complex
Winogrande,0.0157,Original,Simple
LiveBench-Coding,0.1044,LiveBench,Simple
MMLU-logical_fallacies,0.0552,Original,Simple
HellaSwag,0.0621,Original,Simple
ARC-Challenge,0.0133,Original,Simple
GSM8K,0.9168,Original,Complex
Winogrande,0.0174,Original,Simple
LiveBench-Math,0.4698,LiveBench,Medium
GSM8K,0.7996,Original,Complex
LiveBench-Math,0.543,LiveBench,Medium
GSM8K,0.7895,Original,Complex
ARC-Challenge,0.5648,Original,Medium
MMLU-high_school_physics,0.0663,Original,Simple
LiveBench-Reasoning,0.5104,LiveBench,Medium
LiveBench-Reasoning,0.3723,LiveBench,Medium
MMLU-conceptual_physics,0.0341,Original,Simple
LiveBench-Reasoning,0.1107,LiveBench,Simple
MMLU-philosophy,0.0378,Original,Simple
HellaSwag,0.0203,Original,Simple
HellaSwag,0.0451,Original,Simple
LiveBench-DataAnalysis,0.0211,LiveBench,Simple
ARC-Easy,0.0582,Original,Simple
ARC-Easy,0.0468,Original,Simple
LiveBench-Reasoning,0.5594,LiveBench,Medium
HellaSwag,0.0124,Original,Simple
LiveBench-Coding,0.1455,LiveBench,Simple
LiveBench-Language,0.0981,LiveBench,Simple
Winogrande,0.0095,Original,Simple
ARC-Challenge,0.0124,Original,Simple
LiveBench-Reasoning,0.5401,LiveBench,Medium
LiveBench-Math,0.3842,LiveBench,Medium
GSM8K,0.7988,Original,Complex
LiveBench-Language,0.0992,LiveBench,Simple
LiveBench-InstructFollow,0.0105,LiveBench,Simple
Winogrande,0.0176,Original,Simple
LiveBench-Math,0.4355,LiveBench,Medium
MMLU-philosophy,0.0469,Original,Simple
LiveBench-Reasoning,0.5541,LiveBench,Medium
LiveBench-Math,0.3628,LiveBench,Medium
LiveBench-InstructFollow,0.0197,LiveBench,Simple
GSM8K,0.8385,Original,Complex
HellaSwag,0.0169,Original,Simple
MMLU-college_physics,0.0429,Original,Simple
LiveBench-Math,0.3105,LiveBench,Medium
GSM8K,0.7398,Original,Complex
HellaSwag,0.0182,Original,Simple
HellaSwag,0.0069,Original,Simple
LiveBench-Math,0.4698,LiveBench,Medium
LiveBench-Reasoning,0.5323,LiveBench,Medium
ARC-Easy,0.0375,Original,Simple
LiveBench-InstructFollow,0.018,LiveBench,Simple
GSM8K,0.6856,Original,Complex
LiveBench-InstructFollow,0.0038,LiveBench,Simple
LiveBench-InstructFollow,0.01,LiveBench,Simple
LiveBench-Reasoning,0.5809,LiveBench,Medium
MMLU-college_physics,0.0322,Original,Simple
LiveBench-Language,0.1024,LiveBench,Simple
ARC-Challenge,0.0187,Original,Simple
HellaSwag,0.0684,Original,Simple
LiveBench-Math,0.0758,LiveBench,Simple
LiveBench-Coding,0.1478,LiveBench,Simple
MMLU-formal_logic,0.0998,Original,Simple
ARC-Easy,0.0099,Original,Simple
GSM8K,0.8076,Original,Complex
HellaSwag,0.0205,Original,Simple
ARC-Easy,0.0608,Original,Simple
LiveBench-Language,0.0888,LiveBench,Simple
ARC-Easy,0.5913,Original,Medium
ARC-Easy,0.2303,Original,Simple
GSM8K,0.8182,Original,Complex
HellaSwag,0.0031,Original,Simple
GSM8K,0.8311,Original,Complex
GSM8K,0.9052,Original,Complex
GSM8K,0.7719,Original,Complex
LiveBench-Language,0.0942,LiveBench,Simple
LiveBench-Reasoning,0.5964,LiveBench,Medium
LiveBench-Math,0.381,LiveBench,Medium
LiveBench-Math,0.3628,LiveBench,Medium
ARC-Easy,0.0262,Original,Simple
LiveBench-Coding,0.1579,LiveBench,Simple
HellaSwag,0.0689,Original,Simple
LiveBench-Math,0.3575,LiveBench,Medium
GSM8K,0.6018,Original,Complex
ARC-Easy,0.108,Original,Simple
Winogrande,0.0138,Original,Simple
LiveBench-Math,0.5157,LiveBench,Medium
LiveBench-Math,0.3324,LiveBench,Medium
LiveBench-Language,0.1131,LiveBench,Simple
GSM8K,0.7221,Original,Complex
LiveBench-Math,0.6758,LiveBench,Complex
GSM8K,0.886,Original,Complex
GSM8K,0.8111,Original,Complex
LiveBench-Language,0.0935,LiveBench,Simple
GSM8K,0.7855,Original,Complex
GSM8K,0.8953,Original,Complex
ARC-Easy,0.0363,Original,Simple
GSM8K,0.849,Original,Complex
Winogrande,0.0244,Original,Simple
HellaSwag,0.0098,Original,Simple
ARC-Easy,0.3583,Original,Medium
ARC-Challenge,0.4378,Original,Medium
LiveBench-Math,0.5444,LiveBench,Medium
LiveBench-Math,0.0802,LiveBench,Simple
LiveBench-Reasoning,0.5097,LiveBench,Medium
ARC-Challenge,0.4422,Original,Medium
GSM8K,0.8846,Original,Complex
LiveBench-Math,0.0892,LiveBench,Simple
LiveBench-Math,0.298,LiveBench,Simple
GSM8K,0.628,Original,Complex
MMLU-logical_fallacies,0.0043,Original,Simple
MMLU-conceptual_physics,0.0411,Original,Simple
GSM8K,0.8003,Original,Complex
ARC-Challenge,0.248,Original,Simple
GSM8K,0.4751,Original,Medium
LiveBench-Reasoning,0.4213,LiveBench,Medium
Winogrande,0.0133,Original,Simple
LiveBench-DataAnalysis,0.0344,LiveBench,Simple
LiveBench-Reasoning,0.4296,LiveBench,Medium
LiveBench-InstructFollow,0.0277,LiveBench,Simple
GSM8K,0.821,Original,Complex
LiveBench-Coding,0.1618,LiveBench,Simple
LiveBench-Reasoning,0.5751,LiveBench,Medium
LiveBench-InstructFollow,0.0139,LiveBench,Simple
Winogrande,0.0131,Original,Simple
HellaSwag,0.1414,Original,Simple
HellaSwag,0.0507,Original,Simple
MMLU-formal_logic,0.0256,Original,Simple
Winogrande,0.0142,Original,Simple
MMLU-college_physics,0.0281,Original,Simple
LiveBench-DataAnalysis,0.0386,LiveBench,Simple
MMLU-logical_fallacies,0.0184,Original,Simple
MMLU-college_physics,0.0203,Original,Simple
LiveBench-Math,0.4833,LiveBench,Medium
LiveBench-InstructFollow,0.0137,LiveBench,Simple
LiveBench-Math,0.4645,LiveBench,Medium
ARC-Easy,0.0262,Original,Simple
LiveBench-Reasoning,0.4752,LiveBench,Medium
LiveBench-Coding,0.0917,LiveBench,Simple
LiveBench-Reasoning,0.5276,LiveBench,Medium
LiveBench-Coding,0.1251,LiveBench,Simple
ARC-Challenge,0.3974,Original,Medium
LiveBench-InstructFollow,0.0135,LiveBench,Simple
ARC-Easy,0.0199,Original,Simple
ARC-Easy,0.0537,Original,Simple
LiveBench-Reasoning,0.5406,LiveBench,Medium
ARC-Challenge,0.3836,Original,Medium
MMLU-logical_fallacies,0.0265,Original,Simple
LiveBench-Math,0.0767,LiveBench,Simple
GSM8K,0.8828,Original,Complex
ARC-Easy,0.0167,Original,Simple
ARC-Easy,0.7248,Original,Complex
HellaSwag,0.039,Original,Simple
ARC-Challenge,0.0228,Original,Simple
GSM8K,0.7836,Original,Complex
GSM8K,0.7822,Original,Complex
GSM8K,0.7291,Original,Complex
Winogrande,0.023,Original,Simple
LiveBench-Math,0.3831,LiveBench,Medium
LiveBench-Coding,0.1526,LiveBench,Simple
GSM8K,0.8788,Original,Complex
MMLU-conceptual_physics,0.3842,Original,Medium
MMLU-college_physics,0.3646,Original,Medium
LiveBench-Language,0.0922,LiveBench,Simple
MMLU-formal_logic,0.169,Original,Simple
MMLU-high_school_physics,0.3235,Original,Medium
HellaSwag,0.0482,Original,Simple
HellaSwag,0.0045,Original,Simple
ARC-Challenge,0.0697,Original,Simple
ARC-Challenge,0.4844,Original,Medium
GSM8K,0.7841,Original,Complex
ARC-Easy,0.0969,Original,Simple
LiveBench-Reasoning,0.4166,LiveBench,Medium
LiveBench-Math,0.3771,LiveBench,Medium
LiveBench-Reasoning,0.5615,LiveBench,Medium
Winogrande,0.0199,Original,Simple
GSM8K,0.65,Original,Complex
HellaSwag,0.0465,Original,Simple
LiveBench-Math,0.08,LiveBench,Simple
ARC-Easy,0.0267,Original,Simple
LiveBench-DataAnalysis,0.0243,LiveBench,Simple
HellaSwag,0.047,Original,Simple
LiveBench-InstructFollow,0.0172,LiveBench,Simple
LiveBench-Language,0.1015,LiveBench,Simple
Winogrande,0.0087,Original,Simple
ARC-Challenge,0.0547,Original,Simple
GSM8K,0.8164,Original,Complex
GSM8K,0.8725,Original,Complex
MMLU-high_school_physics,0.5878,Original,Medium
LiveBench-Reasoning,0.5712,LiveBench,Medium
GSM8K,0.8011,Original,Complex
LiveBench-Math,0.3842,LiveBench,Medium
ARC-Challenge,0.3883,Original,Medium
MMLU-college_physics,0.4182,Original,Medium
GSM8K,0.7307,Original,Complex
LiveBench-Reasoning,0.5009,LiveBench,Medium
GSM8K,0.813,Original,Complex
GSM8K,0.8466,Original,Complex
LiveBench-Reasoning,0.5683,LiveBench,Medium
ARC-Challenge,0.3243,Original,Medium
HellaSwag,0.0254,Original,Simple
LiveBench-Language,0.0954,LiveBench,Simple
MMLU-high_school_physics,0.4582,Original,Medium
LiveBench-Coding,0.0766,LiveBench,Simple
LiveBench-Reasoning,0.5165,LiveBench,Medium
Winogrande,0.0163,Original,Simple
ARC-Easy,0.0797,Original,Simple
LiveBench-Coding,0.0817,LiveBench,Simple
ARC-Challenge,0.0087,Original,Simple
MMLU-formal_logic,0.2273,Original,Simple
ARC-Challenge,0.5485,Original,Medium
ARC-Challenge,0.0525,Original,Simple
LiveBench-Reasoning,0.5102,LiveBench,Medium
Winogrande,0.0229,Original,Simple
LiveBench-Coding,0.1903,LiveBench,Simple
LiveBench-Reasoning,0.5204,LiveBench,Medium
LiveBench-Math,0.3553,LiveBench,Medium
ARC-Easy,0.132,Original,Simple
ARC-Easy,0.0588,Original,Simple
LiveBench-Reasoning,0.5887,LiveBench,Medium
Winogrande,0.0117,Original,Simple
GSM8K,0.8107,Original,Complex
LiveBench-Coding,0.1267,LiveBench,Simple
GSM8K,0.743,Original,Complex
GSM8K,0.6197,Original,Complex
LiveBench-Math,0.5197,LiveBench,Medium
ARC-Easy,0.0291,Original,Simple
HellaSwag,0.017,Original,Simple
LiveBench-InstructFollow,0.0151,LiveBench,Simple
ARC-Easy,0.019,Original,Simple
GSM8K,0.8855,Original,Complex
ARC-Easy,0.2242,Original,Simple
HellaSwag,0.0054,Original,Simple
MMLU-high_school_physics,0.2473,Original,Simple
ARC-Easy,0.0059,Original,Simple
LiveBench-Math,0.4239,LiveBench,Medium
LiveBench-Reasoning,0.4635,LiveBench,Medium
HellaSwag,0.0336,Original,Simple
GSM8K,0.8726,Original,Complex
Winogrande,0.0097,Original,Simple
LiveBench-Reasoning,0.57,LiveBench,Medium
Winogrande,0.0056,Original,Simple
GSM8K,0.6617,Original,Complex
LiveBench-Reasoning,0.4844,LiveBench,Medium
GSM8K,0.7704,Original,Complex
ARC-Easy,0.0528,Original,Simple
ARC-Challenge,0.0275,Original,Simple
MMLU-conceptual_physics,0.0214,Original,Simple
ARC-Challenge,0.0732,Original,Simple
HellaSwag,0.0145,Original,Simple
GSM8K,0.8841,Original,Complex
MMLU-high_school_physics,0.4967,Original,Medium
HellaSwag,0.0103,Original,Simple
GSM8K,0.7521,Original,Complex
HellaSwag,0.0095,Original,Simple
ARC-Easy,0.2391,Original,Simple
ARC-Easy,0.1077,Original,Simple
ARC-Easy,0.0093,Original,Simple
LiveBench-Reasoning,0.5939,LiveBench,Medium
GSM8K,0.8434,Original,Complex
LiveBench-DataAnalysis,0.0182,LiveBench,Simple
