source,task_type,difficulty,is_complex,prompt_complexity_score,creativity_scope,reasoning_score,constraint_ct,domain_knowledge,complexity_level,task_type_nvidia
ARC-Easy,Science QA,Easy,0,0.16892,0.0027,0.1077,0.6354,0.2935,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.10105,0.0346,0.0346,0.1695,0.3598,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.06893,0.0012,0.0118,0.1337,0.2883,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.2307,0.0079,0.0592,0.8661,0.5508,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.10119,0.0027,0.0696,0.0932,0.4336,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.17536,0.0223,0.0588,0.6817,0.3321,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.3544,0.017,0.7248,0.6273,0.4777,moderate,Open QA
ARC-Easy,Science QA,Easy,0,0.24036,0.016,0.1384,0.8401,0.4683,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.16465,0.0015,0.0735,0.3134,0.6432,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.17666,0.0029,0.0673,0.4591,0.5905,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.19442,0.0155,0.2174,0.5885,0.2981,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.17703,0.0051,0.0665,0.6317,0.4207,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.11781,0.027,0.016,0.2621,0.3896,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.25859,0.0206,0.1747,0.8203,0.5576,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.19577,0.0038,0.0955,0.5164,0.616,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.20381,0.0466,0.1004,0.8942,0.1778,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.0842,0.0033,0.0533,0.0678,0.388,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.14655,0.0034,0.0262,0.2268,0.6819,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.17988,0.0419,0.1315,0.6631,0.186,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.1614,0.0239,0.0274,0.5069,0.4629,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.08594,0.0022,0.0375,0.0816,0.4211,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.18648,0.0019,0.0524,0.2359,0.9069,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.15734,0.0016,0.0506,0.232,0.6629,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.12224,0.0573,0.1028,0.3222,0.1635,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.15075,0.001,0.1084,0.0883,0.7259,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.0775,0.0214,0.0093,0.0511,0.2017,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.27472,0.0107,0.3583,0.6957,0.5087,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.20728,0.0285,0.114,0.4844,0.6017,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.15976,0.0042,0.0167,0.5099,0.4816,trivial,Classification
ARC-Easy,Science QA,Easy,0,0.22464,0.018,0.1717,0.6064,0.5528,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.08681,0.0025,0.0226,0.0877,0.4415,trivial,Rewrite
ARC-Easy,Science QA,Easy,0,0.29269,0.0174,0.5913,0.5952,0.3215,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.13757,0.0114,0.0969,0.4577,0.2561,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.11984,0.0173,0.0099,0.3299,0.3808,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.0828,0.0018,0.0582,0.1215,0.286,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.12531,0.002,0.1892,0.1543,0.3554,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.13504,0.0078,0.0636,0.4188,0.3265,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.12162,0.0024,0.0327,0.2532,0.4435,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.19777,0.0396,0.2303,0.5056,0.3293,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.1542,0.0403,0.0363,0.1888,0.4799,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.08994,0.0142,0.0515,0.2149,0.2475,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.08658,0.0005,0.0291,0.0295,0.4752,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.11826,0.0153,0.0357,0.2613,0.4234,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.18462,0.0543,0.0468,0.6587,0.3468,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.33899,0.0417,0.2915,0.9205,0.7417,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.16713,0.0056,0.0549,0.6678,0.3353,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.20049,0.098,0.1304,0.3943,0.4861,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.10525,0.0154,0.0537,0.137,0.4327,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.15456,0.0064,0.0147,0.4583,0.5291,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.17306,0.012,0.1556,0.5414,0.3187,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.25976,0.0595,0.0199,0.9568,0.5928,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.16686,0.0277,0.2604,0.3237,0.2862,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.11806,0.0032,0.041,0.2237,0.479,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.18734,0.0016,0.0285,0.3615,0.8217,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.07262,0.0041,0.0059,0.0407,0.4197,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.1615,0.0024,0.0505,0.4132,0.5676,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.1544,0.0475,0.132,0.597,0.0903,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.13346,0.0026,0.0362,0.2418,0.5654,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.14207,0.0203,0.0442,0.452,0.3357,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.09134,0.0007,0.0087,0.1567,0.4298,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.10288,0.0056,0.0664,0.1511,0.4057,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.29348,0.1013,0.2703,0.7775,0.485,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.11422,0.0031,0.0866,0.0473,0.5402,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.17278,0.0028,0.1658,0.1966,0.6654,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.29257,0.0105,0.0608,0.9211,0.8949,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.14954,0.0013,0.0327,0.2473,0.6851,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.22584,0.0061,0.1169,0.9006,0.392,simple,Closed QA
ARC-Easy,Science QA,Easy,0,0.1386,0.0046,0.019,0.1883,0.6899,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.15491,0.0036,0.0262,0.5381,0.4245,trivial,Closed QA
ARC-Easy,Science QA,Easy,0,0.12486,0.0043,0.1495,0.2415,0.3147,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.22162,0.0481,0.2242,0.66,0.3273,simple,Open QA
ARC-Easy,Science QA,Easy,0,0.19704,0.0318,0.2495,0.5997,0.2134,trivial,Open QA
ARC-Easy,Science QA,Easy,0,0.09762,0.0282,0.0555,0.3061,0.1278,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.12904,0.0004,0.0302,0.0076,0.7698,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.3236,0.1007,0.2836,0.7891,0.6462,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.1191,0.0375,0.0131,0.2061,0.4718,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.3119,0.0387,0.2076,0.6746,0.9356,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.18476,0.0017,0.096,0.471,0.5851,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.10224,0.003,0.1139,0.1619,0.3149,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.15998,0.0126,0.0564,0.4211,0.3864,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.20465,0.1516,0.0193,0.6942,0.2773,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.12902,0.0005,0.0461,0.0281,0.7495,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.1701,0.0006,0.1224,0.1658,0.7583,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.30725,0.1053,0.0887,0.8357,0.8054,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.11645,0.0118,0.084,0.1512,0.3915,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.2336,0.0268,0.4378,0.5956,0.1575,simple,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.07686,0.0135,0.0325,0.1611,0.2515,trivial,Other
ARC-Challenge,Science QA,Challenge,0,0.12583,0.0072,0.0275,0.1056,0.6543,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.17592,0.0241,0.0072,0.6364,0.4471,trivial,Rewrite
ARC-Challenge,Science QA,Challenge,0,0.12532,0.0047,0.0107,0.1848,0.6045,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.13791,0.0031,0.1338,0.1648,0.5025,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.22358,0.2838,0.0157,0.6945,0.099,simple,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.18076,0.0282,0.0458,0.3431,0.5583,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.14304,0.0167,0.1236,0.207,0.4879,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.26295,0.0118,0.1867,0.8428,0.565,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.19451,0.012,0.4844,0.1906,0.2553,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.29242,0.1853,0.099,0.9192,0.402,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.10582,0.0087,0.0179,0.1589,0.4595,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.15584,0.0049,0.248,0.0704,0.5294,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.16948,0.0439,0.0252,0.5352,0.3427,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.17482,0.0094,0.3243,0.2871,0.2893,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.08395,0.0064,0.0729,0.0296,0.3186,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.08234,0.0013,0.0303,0.0471,0.4154,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.22213,0.0302,0.0347,0.8256,0.5123,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.09284,0.0017,0.0152,0.0567,0.5118,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.21467,0.0129,0.2587,0.4792,0.4658,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.14684,0.0122,0.0915,0.5189,0.2363,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.07452,0.0044,0.0134,0.1955,0.2345,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.30649,0.1939,0.0295,0.9227,0.6051,simple,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.27754,0.0081,0.5648,0.2494,0.593,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.17776,0.0014,0.0731,0.3417,0.7113,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.13548,0.0057,0.0396,0.2466,0.376,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.22324,0.0039,0.0629,0.7154,0.6064,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.14168,0.0191,0.0755,0.3656,0.3917,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.15802,0.0586,0.1088,0.5437,0.1622,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.17702,0.0447,0.019,0.3427,0.6896,trivial,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.1969,0.0407,0.0473,0.7087,0.3967,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.11512,0.0031,0.0187,0.0828,0.6373,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.26994,0.0211,0.0697,0.9166,0.7052,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.15934,0.0106,0.0243,0.3284,0.6644,trivial,Open QA
ARC-Challenge,Science QA,Challenge,1,0.44697,0.1946,0.6232,0.8394,0.5888,moderate,Open QA
ARC-Challenge,Science QA,Challenge,0,0.27629,0.0327,0.2907,0.7704,0.5039,simple,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.1016,0.0309,0.0152,0.2903,0.2293,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.21748,0.0208,0.0387,0.6071,0.6969,simple,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.2882,0.0394,0.0447,0.8521,0.871,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.08268,0.0037,0.1258,0.0254,0.2932,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.17253,0.0312,0.0101,0.641,0.4009,trivial,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.17888,0.0026,0.1295,0.3033,0.664,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.10916,0.0498,0.0122,0.1194,0.3911,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.2071,0.0291,0.1992,0.5649,0.4106,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.10722,0.0318,0.0198,0.2127,0.3613,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.0887,0.0039,0.0087,0.2042,0.3139,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.23116,0.0195,0.0741,0.8882,0.4661,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.169,0.0062,0.1384,0.5605,0.2992,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.14837,0.0287,0.0312,0.736,0.1297,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.34346,0.0535,0.2512,0.8642,0.8629,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.31056,0.1559,0.4422,0.6871,0.272,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.21514,0.0279,0.0311,0.5742,0.7061,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.23936,0.0055,0.0487,0.7047,0.7892,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.1735,0.0137,0.1162,0.6133,0.3135,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.14928,0.0279,0.0601,0.2224,0.6017,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.11382,0.0046,0.1532,0.2277,0.2528,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.14296,0.0013,0.0228,0.0264,0.8621,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.3424,0.4183,0.054,0.8407,0.3673,simple,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.15234,0.0096,0.1065,0.4712,0.3345,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.18537,0.0246,0.0917,0.6456,0.3722,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.15574,0.0008,0.0862,0.2192,0.6663,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.1367,0.009,0.0124,0.4528,0.3872,trivial,Classification
ARC-Challenge,Science QA,Challenge,0,0.13056,0.0018,0.0133,0.2293,0.6048,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.16624,0.0012,0.0732,0.2528,0.7251,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.09486,0.0007,0.0421,0.083,0.4671,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.23709,0.0051,0.3974,0.4488,0.4339,simple,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.08231,0.0033,0.0219,0.2417,0.2499,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.09383,0.0152,0.0207,0.2514,0.3015,trivial,Rewrite
ARC-Challenge,Science QA,Challenge,0,0.22364,0.0081,0.0952,0.8953,0.4128,simple,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.11608,0.01,0.0291,0.2182,0.4746,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.11774,0.0614,0.0394,0.1899,0.2679,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.14825,0.0029,0.1936,0.302,0.3457,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.39982,0.0545,0.5485,0.8982,0.7152,moderate,Open QA
ARC-Challenge,Science QA,Challenge,0,0.24878,0.0148,0.3836,0.1866,0.7816,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.11074,0.0015,0.0272,0.0457,0.5977,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.2325,0.0055,0.1461,0.8843,0.3917,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.31009,0.0413,0.1408,0.7467,0.9321,simple,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.28212,0.2755,0.0547,0.4265,0.7026,simple,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.06582,0.0095,0.0318,0.0688,0.2861,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.14737,0.0052,0.0184,0.3417,0.5897,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.08291,0.0014,0.0468,0.0909,0.3677,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.28031,0.1108,0.0305,0.8311,0.7219,simple,Text Generation
ARC-Challenge,Science QA,Challenge,0,0.21341,0.0123,0.0525,0.6865,0.6052,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.24195,0.0082,0.3883,0.2706,0.6707,simple,Open QA
ARC-Challenge,Science QA,Challenge,0,0.1022,0.0033,0.0246,0.1899,0.4338,trivial,Closed QA
ARC-Challenge,Science QA,Challenge,0,0.15954,0.0418,0.1007,0.5172,0.2488,trivial,Open QA
ARC-Challenge,Science QA,Challenge,0,0.24734,0.0727,0.0233,0.7709,0.662,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.33786,0.0317,0.8931,0.4561,0.2126,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.30467,0.0408,0.868,0.1531,0.2816,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.29729,0.0209,0.8125,0.3276,0.2148,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.28317,0.0322,0.7291,0.4109,0.1774,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.28698,0.0157,0.7895,0.3107,0.2395,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.31818,0.0756,0.7789,0.437,0.2023,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.2331,0.0378,0.5486,0.3455,0.1786,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.36591,0.0326,0.6197,0.8331,0.4783,moderate,Open QA
GSM8K,Math Reasoning,Grade School,0,0.3266,0.0391,0.7841,0.3871,0.3794,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.3346,0.0446,0.6856,0.7239,0.2475,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.32323,0.0349,0.4751,0.8388,0.4348,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.30545,0.0557,0.6617,0.6209,0.1726,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.2977,0.0266,0.7822,0.291,0.2731,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.31973,0.0408,0.8177,0.4217,0.2332,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.33062,0.0348,0.6676,0.6399,0.3594,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.30649,0.027,0.9168,0.1913,0.2474,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.28908,0.0323,0.7221,0.4787,0.1412,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.29987,0.0235,0.8828,0.2241,0.2182,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.30982,0.0277,0.8069,0.4425,0.1815,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.30607,0.0379,0.7398,0.524,0.1872,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.29277,0.0307,0.7281,0.4115,0.2231,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.32657,0.0607,0.9365,0.219,0.213,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.31961,0.0369,0.7704,0.5718,0.1732,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.38346,0.0924,0.8223,0.6615,0.2727,moderate,Open QA
GSM8K,Math Reasoning,Grade School,0,0.34553,0.0482,0.813,0.6015,0.2182,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.34176,0.0458,0.8878,0.2984,0.3807,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.32675,0.0553,0.8846,0.3847,0.1805,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.31557,0.0239,0.7392,0.6593,0.1383,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.35139,0.0286,0.8203,0.7085,0.1887,moderate,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.33172,0.0144,0.7891,0.6174,0.2318,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.35116,0.0541,0.9052,0.4078,0.2892,moderate,Open QA
GSM8K,Math Reasoning,Grade School,0,0.33508,0.0262,0.8145,0.5007,0.2976,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.24159,0.0127,0.6119,0.2818,0.2185,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.30276,0.0327,0.7363,0.5029,0.1808,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.3456,0.0467,0.7959,0.6802,0.1771,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.34584,0.0307,0.821,0.6354,0.2175,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.34167,0.02,0.8788,0.519,0.235,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.35276,0.0278,0.8004,0.7061,0.2353,moderate,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.34302,0.0418,0.8434,0.4183,0.3405,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.30421,0.03,0.8164,0.3846,0.2035,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.31148,0.0235,0.8111,0.3685,0.2586,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.31141,0.0317,0.64,0.7029,0.2143,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.26327,0.023,0.65,0.3129,0.2684,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.27344,0.0193,0.8111,0.2647,0.1515,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.34918,0.031,0.8726,0.422,0.3669,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.30821,0.0251,0.7719,0.4308,0.2649,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.35922,0.037,0.859,0.6379,0.228,moderate,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.34784,0.0272,0.8953,0.4432,0.3119,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.32641,0.0462,0.8843,0.2621,0.3183,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.27622,0.0183,0.6709,0.4903,0.1826,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.29617,0.0333,0.6655,0.4983,0.2826,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.3055,0.0262,0.786,0.4236,0.2335,simple,Closed QA
GSM8K,Math Reasoning,Grade School,0,0.32803,0.0308,0.8586,0.3835,0.269,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.31565,0.048,0.7307,0.4195,0.3066,simple,Open QA
GSM8K,Math Reasoning,Grade School,0,0.31927,0.0763,0.7521,0.4698,0.2198,simple,Open QA
GSM8K,Math Reasoning,Grade School,1,0.40548,0.0889,0.7836,0.7156,0.4665,moderate,Open QA
GSM8K,Math Reasoning,Grade School,0,0.29245,0.0254,0.8182,0.3412,0.172,simple,Open QA
