source,task,reasoning_score,creativity_score,complexity_score,is_complex,level,complexity
LiveBench-Reasoning,zebra_puzzle,0.5204,0.0533,0.40971,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5751,0.0469,0.41522,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4968,0.0722,0.41688,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4752,0.0412,0.38063,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4296,0.0506,0.38774,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5683,0.0663,0.41646,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5939,0.0484,0.36802,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.6943,0.0499,0.40657,True,High (>0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5809,0.0817,0.36422,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5276,0.0651,0.35498,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5887,0.0996,0.3629,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.6113,0.0563,0.39147,False,High (>0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5097,0.0693,0.38906,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5594,0.0631,0.35828,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.6699,0.0991,0.37536,False,High (>0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.136,0.0992,0.22694,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.6134,0.0968,0.39324,False,High (>0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.57,0.0522,0.38083,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5406,0.044,0.40002,True,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4266,0.0693,0.33461,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.5712,0.0479,0.31104,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.157,0.096,0.20752,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.3723,0.0337,0.27297,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.1488,0.0702,0.20764,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.5964,0.1052,0.38097,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.1658,0.1451,0.23665,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.4213,0.0469,0.24894,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.4166,0.0518,0.2606,False,Mid (0.3-0.6),Complex
LiveBench-Reasoning,zebra_puzzle,0.1582,0.1296,0.22546,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.1288,0.2794,0.26466,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.1786,0.1172,0.22609,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.1579,0.0908,0.22117,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.1673,0.0926,0.23448,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.1754,0.3067,0.27371,False,Low (<0.3),Simple
LiveBench-Reasoning,zebra_puzzle,0.1107,0.0751,0.20816,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.1035,0.0041,0.26968,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0317,0.0042,0.24879,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0308,0.0038,0.24814,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0109,0.0104,0.28484,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0145,0.0081,0.27914,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0719,0.0038,0.29337,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0216,0.0032,0.27024,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0121,0.0029,0.24723,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0168,0.0024,0.22921,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0118,0.0063,0.24791,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0145,0.1874,0.33108,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0177,0.0067,0.2378,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0256,0.0033,0.26487,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0608,0.0015,0.26068,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0341,0.0056,0.27949,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0143,0.0071,0.25786,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0459,0.0057,0.25787,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.013,0.0064,0.20488,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0386,0.008,0.27084,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0618,0.0027,0.27292,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0195,0.0078,0.24558,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0828,0.0031,0.24904,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0227,0.0071,0.24232,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0284,0.0061,0.25904,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.1338,0.0022,0.27765,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0098,0.0091,0.27729,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0142,0.0065,0.25017,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0211,0.0046,0.2817,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0344,0.0026,0.25019,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.01,0.0047,0.22759,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0422,0.0012,0.21634,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0124,0.0051,0.27958,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0288,0.0026,0.2024,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0229,0.0098,0.25487,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0243,0.0031,0.24073,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0371,0.0021,0.24044,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0385,0.0042,0.23648,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0187,0.0044,0.27497,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0291,0.0064,0.27505,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0868,0.0025,0.27307,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0223,0.0052,0.26697,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0182,0.0094,0.24518,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0164,0.0073,0.28648,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0093,0.0018,0.22084,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0253,0.0028,0.25511,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0552,0.0043,0.28775,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0097,0.0057,0.23862,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0201,0.0037,0.2752,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0322,0.0031,0.26085,False,Low (<0.3),Simple
LiveBench-DataAnalysis,tablereformat,0.0185,0.0019,0.2266,False,Low (<0.3),Simple
